Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2019-20,Norwich,Arsenal,2,2,D
2019-20,Wolverhampton Wanderers,Sheffield United,1,1,D
2019-20,Leicester,Everton,2,1,H
2019-20,Manchester United,Aston Villa,2,2,D
2019-20,Crystal Palace,Bournemouth,1,0,H
2019-20,Burnley,Manchester City,1,4,A
2019-20,Chelsea,Aston Villa,2,1,H
2019-20,Leicester,Watford,2,0,H
2019-20,Manchester United,Tottenham,2,1,H
2019-20,Southampton,Norwich,2,1,H
2019-20,Wolverhampton Wanderers,West Ham,2,0,H
2019-20,Liverpool,Everton,5,2,H
2019-20,Sheffield United,Newcastle United,0,2,A
2019-20,Arsenal,Brighton,1,2,A
2019-20,Everton,Chelsea,3,1,H
2019-20,Bournemouth,Liverpool,0,3,A
2019-20,Tottenham,Burnley,5,0,H
2019-20,Watford,Crystal Palace,0,0,D
2019-20,Manchester City,Manchester United,1,2,A
2019-20,Aston Villa,Leicester,1,4,A
2019-20,Newcastle United,Southampton,2,1,H
2019-20,Norwich,Sheffield United,1,2,A
2019-20,Brighton,Wolverhampton Wanderers,2,2,D
2019-20,West Ham,Arsenal,1,3,A
2019-20,Liverpool,Watford,2,0,H
2019-20,Burnley,Newcastle United,1,0,H
2019-20,Chelsea,Bournemouth,0,1,A
2019-20,Leicester,Norwich,1,1,D
2019-20,Sheffield United,Aston Villa,2,0,H
2019-20,Southampton,West Ham,0,1,A
2019-20,Manchester United,Everton,1,1,D
2019-20,Wolverhampton Wanderers,Tottenham,1,2,A
2019-20,Arsenal,Manchester City,0,3,A
2019-20,Crystal Palace,Brighton,1,1,D
2019-20,Everton,Arsenal,0,0,D
2019-20,Aston Villa,Southampton,1,3,A
2019-20,Bournemouth,Burnley,0,1,A
2019-20,Brighton,Sheffield United,0,1,A
2019-20,Newcastle United,Crystal Palace,1,0,H
2019-20,Norwich,Wolverhampton Wanderers,1,2,A
2019-20,Manchester City,Leicester,3,1,H
2019-20,Watford,Manchester United,2,0,H
2019-20,Tottenham,Chelsea,0,2,A
2019-20,Tottenham,Brighton,2,1,H
2019-20,Aston Villa,Norwich,1,0,H
2019-20,Bournemouth,Arsenal,1,1,D
2019-20,Chelsea,Southampton,0,2,A
2019-20,Crystal Palace,West Ham,2,1,H
2019-20,Everton,Burnley,1,0,H
2019-20,Sheffield United,Watford,1,1,D
2019-20,Manchester United,Newcastle United,4,1,H
2019-20,Leicester,Liverpool,0,4,A
2019-20,Wolverhampton Wanderers,Manchester City,3,2,H
2019-20,Brighton,Bournemouth,2,0,H
2019-20,Newcastle United,Everton,1,2,A
2019-20,Southampton,Crystal Palace,1,1,D
2019-20,Watford,Aston Villa,3,0,H
2019-20,Norwich,Tottenham,2,2,D
2019-20,West Ham,Leicester,1,2,A
2019-20,Burnley,Manchester United,0,2,A
2019-20,Arsenal,Chelsea,1,2,A
2019-20,Liverpool,Wolverhampton Wanderers,1,0,H
2019-20,Manchester City,Sheffield United,2,0,H
2019-20,Brighton,Chelsea,1,1,D
2019-20,Burnley,Aston Villa,1,2,A
2019-20,Newcastle United,Leicester,0,3,A
2019-20,Southampton,Tottenham,1,0,H
2019-20,Watford,Wolverhampton Wanderers,2,1,H
2019-20,Manchester City,Everton,2,1,H
2019-20,Norwich,Crystal Palace,1,1,D
2019-20,West Ham,Bournemouth,4,0,H
2019-20,Arsenal,Manchester United,2,0,H
2019-20,Liverpool,Sheffield United,2,0,H
2019-20,Sheffield United,West Ham,1,0,H
2019-20,Crystal Palace,Arsenal,1,1,D
2019-20,Chelsea,Burnley,3,0,H
2019-20,Everton,Brighton,1,0,H
2019-20,Leicester,Southampton,1,2,A
2019-20,Manchester United,Norwich,4,0,H
2019-20,Wolverhampton Wanderers,Newcastle United,1,1,D
2019-20,Tottenham,Liverpool,0,1,A
2019-20,Bournemouth,Watford,0,3,A
2019-20,Aston Villa,Manchester City,1,6,A
2019-20,Watford,Tottenham,0,0,D
2019-20,Arsenal,Sheffield United,1,1,D
2019-20,Brighton,Aston Villa,1,1,D
2019-20,Manchester City,Crystal Palace,2,2,D
2019-20,Norwich,Bournemouth,1,0,H
2019-20,Southampton,Wolverhampton Wanderers,2,3,A
2019-20,West Ham,Everton,1,1,D
2019-20,Newcastle United,Chelsea,1,0,H
2019-20,Burnley,Leicester,2,1,H
2019-20,Liverpool,Manchester United,2,0,H
2019-20,Aston Villa,Watford,2,1,H
2019-20,Bournemouth,Brighton,3,1,H
2019-20,Crystal Palace,Southampton,0,2,A
2019-20,Everton,Newcastle United,2,2,D
2019-20,Sheffield United,Manchester City,0,1,A
2019-20,Chelsea,Arsenal,2,2,D
2019-20,Leicester,West Ham,4,1,H
2019-20,Tottenham,Norwich,2,1,H
2019-20,Manchester United,Burnley,0,2,A
2019-20,Wolverhampton Wanderers,Liverpool,1,2,A
2019-20,West Ham,Liverpool,0,2,A
2019-20,Leicester,Chelsea,2,2,D
2019-20,Bournemouth,Aston Villa,2,1,H
2019-20,Crystal Palace,Sheffield United,0,1,A
2019-20,Liverpool,Southampton,4,0,H
2019-20,Newcastle United,Norwich,0,0,D
2019-20,Watford,Everton,2,3,A
2019-20,West Ham,Brighton,3,3,D
2019-20,Manchester United,Wolverhampton Wanderers,0,0,D
2019-20,Burnley,Arsenal,0,0,D
2019-20,Tottenham,Manchester City,2,0,H
2019-20,Everton,Crystal Palace,3,1,H
2019-20,Brighton,Watford,1,1,D
2019-20,Sheffield United,Bournemouth,2,1,H
2019-20,Wolverhampton Wanderers,Leicester,0,0,D
2019-20,Southampton,Burnley,1,2,A
2019-20,Norwich,Liverpool,0,1,A
2019-20,Aston Villa,Tottenham,2,3,A
2019-20,Arsenal,Newcastle United,4,0,H
2019-20,Chelsea,Manchester United,0,2,A
2019-20,Manchester City,West Ham,2,0,H
2019-20,Chelsea,Tottenham,2,1,H
2019-20,Burnley,Bournemouth,3,0,H
2019-20,Crystal Palace,Newcastle United,1,0,H
2019-20,Sheffield United,Brighton,1,1,D
2019-20,Southampton,Aston Villa,2,0,H
2019-20,Leicester,Manchester City,0,1,A
2019-20,Manchester United,Watford,3,0,H
2019-20,Wolverhampton Wanderers,Norwich,3,0,H
2019-20,Arsenal,Everton,3,2,H
2019-20,Liverpool,West Ham,3,2,H
2019-20,Norwich,Leicester,1,0,H
2019-20,Brighton,Crystal Palace,0,1,A
2019-20,Bournemouth,Chelsea,2,2,D
2019-20,Newcastle United,Burnley,0,0,D
2019-20,West Ham,Southampton,3,1,H
2019-20,Watford,Liverpool,3,0,H
2019-20,Everton,Manchester United,1,1,D
2019-20,Tottenham,Wolverhampton Wanderers,2,3,A
2019-20,Liverpool,Bournemouth,2,1,H
2019-20,Arsenal,West Ham,1,0,H
2019-20,Crystal Palace,Watford,1,0,H
2019-20,Sheffield United,Norwich,1,0,H
2019-20,Southampton,Newcastle United,0,1,A
2019-20,Wolverhampton Wanderers,Brighton,0,0,D
2019-20,Burnley,Tottenham,1,1,D
2019-20,Chelsea,Everton,4,0,H
2019-20,Manchester United,Manchester City,2,0,H
2019-20,Leicester,Aston Villa,4,0,H
2019-20,Aston Villa,Sheffield United,0,0,D
2019-20,Manchester City,Arsenal,3,0,H
2019-20,Norwich,Southampton,0,3,A
2019-20,Tottenham,Manchester United,1,1,D
2019-20,Watford,Leicester,1,1,D
2019-20,Brighton,Arsenal,2,1,H
2019-20,West Ham,Wolverhampton Wanderers,0,2,A
2019-20,Bournemouth,Crystal Palace,0,2,A
2019-20,Newcastle United,Sheffield United,3,0,H
2019-20,Aston Villa,Chelsea,1,2,A
2019-20,Everton,Liverpool,0,0,D
2019-20,Manchester City,Burnley,5,0,H
2019-20,Leicester,Brighton,0,0,D
2019-20,Tottenham,West Ham,2,0,H
2019-20,Manchester United,Sheffield United,3,0,H
2019-20,Newcastle United,Aston Villa,1,1,D
2019-20,Norwich,Everton,0,1,A
2019-20,Wolverhampton Wanderers,Bournemouth,1,0,H
2019-20,Liverpool,Crystal Palace,4,0,H
2019-20,Burnley,Watford,1,0,H
2019-20,Southampton,Arsenal,0,2,A
2019-20,Chelsea,Manchester City,2,1,H
2019-20,Aston Villa,Wolverhampton Wanderers,0,1,A
2019-20,Watford,Southampton,1,3,A
2019-20,Crystal Palace,Burnley,0,1,A
2019-20,Brighton,Manchester United,0,3,A
2019-20,Arsenal,Norwich,4,0,H
2019-20,Bournemouth,Newcastle United,1,4,A
2019-20,Everton,Leicester,2,1,H
2019-20,West Ham,Chelsea,3,2,H
2019-20,Sheffield United,Tottenham,3,1,H
2019-20,Manchester City,Liverpool,4,0,H
2019-20,Norwich,Brighton,0,1,A
2019-20,Leicester,Crystal Palace,3,0,H
2019-20,Manchester United,Bournemouth,5,2,H
2019-20,Wolverhampton Wanderers,Arsenal,0,2,A
2019-20,Chelsea,Watford,3,0,H
2019-20,Burnley,Sheffield United,1,1,D
2019-20,Newcastle United,West Ham,2,2,D
2019-20,Liverpool,Aston Villa,2,0,H
2019-20,Southampton,Manchester City,1,0,H
2019-20,Tottenham,Everton,1,0,H
2019-20,Crystal Palace,Chelsea,2,3,A
2019-20,Watford,Norwich,2,1,H
2019-20,Arsenal,Leicester,1,1,D
2019-20,Manchester City,Newcastle United,5,0,H
2019-20,Sheffield United,Wolverhampton Wanderers,1,0,H
2019-20,West Ham,Burnley,0,1,A
2019-20,Brighton,Liverpool,1,3,A
2019-20,Bournemouth,Tottenham,0,0,D
2019-20,Everton,Southampton,1,1,D
2019-20,Aston Villa,Manchester United,0,3,A
2019-20,Norwich,West Ham,0,4,A
2019-20,Watford,Newcastle United,2,1,H
2019-20,Liverpool,Burnley,1,1,D
2019-20,Sheffield United,Chelsea,3,0,H
2019-20,Brighton,Manchester City,0,5,A
2019-20,Wolverhampton Wanderers,Everton,3,0,H
2019-20,Aston Villa,Crystal Palace,2,0,H
2019-20,Tottenham,Arsenal,2,1,H
2019-20,Bournemouth,Leicester,4,1,H
2019-20,Manchester United,Southampton,2,2,D
2019-20,Chelsea,Norwich,1,0,H
2019-20,Burnley,Wolverhampton Wanderers,1,1,D
2019-20,Manchester City,Bournemouth,2,1,H
2019-20,Newcastle United,Tottenham,1,3,A
2019-20,Arsenal,Liverpool,2,1,H
2019-20,Everton,Aston Villa,1,1,D
2019-20,Leicester,Sheffield United,2,0,H
2019-20,Crystal Palace,Manchester United,0,2,A
2019-20,Southampton,Brighton,1,1,D
2019-20,West Ham,Watford,3,1,H
2019-20,Norwich,Burnley,0,2,A
2019-20,Bournemouth,Southampton,0,2,A
2019-20,Tottenham,Leicester,3,0,H
2019-20,Brighton,Newcastle United,0,0,D
2019-20,Sheffield United,Everton,0,1,A
2019-20,Wolverhampton Wanderers,Crystal Palace,2,0,H
2019-20,Watford,Manchester City,0,4,A
2019-20,Aston Villa,Arsenal,1,0,H
2019-20,Manchester United,West Ham,1,1,D
2019-20,Liverpool,Chelsea,5,3,H
2019-20,Arsenal,Watford,3,2,H
2019-20,Burnley,Brighton,1,2,A
2019-20,Chelsea,Wolverhampton Wanderers,2,0,H
2019-20,Crystal Palace,Tottenham,1,1,D
2019-20,Everton,Bournemouth,1,3,A
2019-20,Leicester,Manchester United,0,2,A
2019-20,Manchester City,Norwich,5,0,H
2019-20,Newcastle United,Liverpool,1,3,A
2019-20,Southampton,Sheffield United,3,1,H
2019-20,West Ham,Aston Villa,1,1,D
